,Q,a95,Plate,Plate_code,Lat,Lon,CLat,CLon,RLat,RLon,Eplat,Eplong,Epang,Age
0,5,4.8,north_america,101,-86.3,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1,5,9.1,north_america,101,-86.4,8.4,0.0,0.0,-86.4,9.2,79.2,23.0,0.2,0.8
2,5,7.1,north_america,101,-85.3,265.9,0.0,0.0,-85.3,-94.1,79.9,22.7,0.3,1.0
3,5,8.7,north_america,101,-88.4,225.5,0.0,0.0,-88.4,-135.7,79.9,22.7,0.3,1.0
4,5,4.3,north_america,101,-88.9,285.0,0.0,0.0,-88.9,-75.1,79.9,22.7,0.3,1.0
5,3,4.9,north_america,101,-77.9,303.7,-80.0,3.5,-80.0,4.2,80.8,22.8,0.4,1.5
6,3,7.0,north_america,101,-85.7,122.7,-81.2,73.9,-81.1,74.5,80.8,22.8,0.4,1.5
7,5,5.7,north_america,101,-84.5,241.0,0.0,0.0,-84.5,-119.1,80.8,22.8,0.4,1.5
8,5,6.2,north_america,101,-89.5,214.8,0.0,0.0,-89.5,-157.9,80.8,22.9,0.8,3.0
9,5,4.1,north_america,101,-84.6,332.3,0.0,0.0,-84.8,-25.6,80.9,22.8,1.0,4.0
10,5,6.7,north_america,101,-87.9,275.9,0.0,0.0,-88.0,-84.4,80.9,22.8,1.0,4.0
11,5,5.0,north_america,101,-85.5,197.4,0.0,0.0,-85.5,-163.9,80.9,22.8,1.3,5.0
12,5,5.0,north_america,101,-85.3,262.1,0.0,0.0,-85.5,-97.9,80.9,22.8,1.8,7.0
13,5,6.9,north_america,101,-85.9,357.7,0.0,0.0,-86.0,3.9,80.9,22.8,2.0,8.0
14,5,7.8,north_america,101,-82.9,309.1,0.0,0.0,-83.3,-47.3,80.9,22.9,2.6,10.0
15,3,12.9,north_america,101,-81.1,225.3,-83.1,93.2,-82.4,98.8,80.9,23.2,4.2,15.5
16,5,3.7,north_america,101,-82.9,346.2,0.0,0.0,-83.5,-1.3,80.3,25.4,5.8,21.0
17,5,9.8,north_america,101,-82.7,301.7,0.0,0.0,-83.7,-51.0,80.2,26.0,6.0,21.7
18,4,6.7,north_america,101,-87.1,189.5,0.0,0.0,-86.7,177.4,80.0,26.6,6.2,22.5
19,3,8.4,north_america,101,-76.4,30.3,0.0,0.0,-76.2,41.0,79.9,26.9,6.3,23.0
20,4,5.2,north_america,101,-80.9,331.2,0.0,0.0,-81.8,-17.8,79.8,27.3,6.4,23.5
21,4,6.8,north_america,101,-79.7,342.8,0.0,0.0,-80.5,-4.3,79.3,27.5,7.1,26.0
22,4,5.4,north_america,101,-80.2,315.4,0.0,0.0,-81.4,-32.9,78.8,22.7,7.5,27.0
23,3,5.0,north_america,101,-82.8,316.2,0.0,0.0,-84.2,-24.0,77.4,12.5,8.6,30.0
24,4,4.4,north_america,101,-81.9,323.6,0.0,0.0,-83.1,-16.9,77.4,12.5,8.6,30.0
25,6,6.2,north_america,101,-80.6,22.1,0.0,0.0,-79.5,43.5,76.0,6.1,9.7,33.0
26,4,4.3,north_america,101,-79.8,5.9,0.0,0.0,-78.9,31.9,74.9,1.4,11.4,37.0
27,5,7.0,north_america,101,-78.2,297.5,0.0,0.0,-80.7,-40.3,74.5,0.1,12.0,38.5
28,3,2.4,north_america,101,-85.2,296.6,0.0,0.0,-87.2,-9.1,74.5,-1.1,12.6,40.0
29,6,3.0,north_america,101,-79.2,326.4,0.0,0.0,-80.1,-1.7,74.4,-2.5,13.4,42.0
30,5,7.7,north_america,101,-83.7,323.7,-76.7,50.4,-73.2,70.3,74.3,-3.7,14.2,44.0
31,5,8.0,north_america,101,-82.7,333.6,0.0,0.0,-82.6,19.8,74.2,-4.9,15.0,46.0
32,4,9.6,north_america,101,-79.3,324.3,0.0,0.0,-80.2,0.8,74.2,-4.9,15.0,46.0
33,4,10.1,north_america,101,-85.2,62.0,0.0,0.0,-81.2,84.0,74.5,-4.8,15.3,47.0
34,6,5.6,north_america,101,-72.0,343.4,0.0,0.0,-71.9,10.7,74.5,-4.8,15.3,47.0
35,5,4.0,north_america,101,-77.1,325.8,0.0,0.0,-78.1,-0.9,75.9,-3.5,16.2,50.0
36,6,6.2,north_america,101,-83.1,326.3,0.0,0.0,-83.5,15.9,75.9,-3.5,16.2,50.0
37,6,4.9,north_america,101,-77.6,309.1,-78.3,22.7,-75.8,51.7,76.5,-2.8,16.5,51.0
38,6,2.6,north_america,101,-82.7,347.2,0.0,0.0,-81.8,31.2,76.5,-2.8,16.5,51.0
39,6,4.4,north_america,101,-81.4,347.7,-73.9,48.8,-71.3,71.7,79.8,4.1,17.6,55.0
40,5,14.0,north_america,101,-68.1,9.4,0.0,0.0,-67.3,34.2,80.9,6.2,18.2,57.0
41,6,3.0,north_america,101,-75.9,326.4,-74.9,24.7,-73.4,52.0,81.8,4.8,19.4,61.0
42,4,1.1,north_america,101,-77.1,21.3,0.0,0.0,-75.6,50.6,82.2,4.0,20.0,63.0
43,4,6.6,north_america,101,-72.0,5.3,-68.0,38.1,-66.1,62.3,82.2,4.0,20.0,63.0
44,6,3.7,north_america,101,-81.9,350.6,0.0,0.0,-81.7,29.2,82.2,4.0,20.0,63.0
45,5,3.9,north_america,101,-80.5,359.4,0.0,0.0,-79.9,34.6,82.4,3.6,20.4,64.0
46,5,5.8,north_america,101,-71.8,28.3,0.0,0.0,-69.2,56.8,81.4,-8.2,22.7,71.0
47,5,6.2,north_america,101,-69.8,354.9,0.0,0.0,-68.6,26.4,81.3,-9.2,23.1,72.0
48,6,4.6,north_america,101,-83.7,15.4,0.0,0.0,-80.7,58.1,80.7,-12.3,24.3,74.5
49,6,9.0,north_america,101,-80.8,358.1,0.0,0.0,-78.0,43.4,79.5,-15.9,25.7,77.0
50,5,9.6,north_america,101,-59.8,17.7,-57.8,41.8,-52.8,70.3,78.7,-18.1,26.9,79.0
51,6,6.2,north_america,101,-70.5,27.6,0.0,0.0,-65.5,60.8,78.2,-18.8,27.5,80.0
52,7,6.6,north_america,101,-81.8,7.8,0.0,0.0,-77.2,55.4,77.8,-19.4,28.1,81.0
53,5,4.4,north_america,101,-73.6,11.1,0.0,0.0,-61.2,65.2,69.4,-23.5,40.5,100.0
54,5,8.3,north_america,101,-72.4,20.7,0.0,0.0,-59.3,70.0,69.4,-23.5,40.5,100.0
55,5,4.0,north_america,101,-76.4,319.4,0.0,0.0,-69.4,45.2,68.8,-23.1,42.6,103.0
56,5,4.4,north_america,101,-71.5,2.4,0.0,0.0,-56.0,67.6,67.3,-22.0,48.2,111.0
57,5,6.5,north_america,101,-77.4,5.9,0.0,0.0,-60.7,74.5,67.2,-21.8,48.9,112.0
58,5,5.6,north_america,101,-75.7,29.1,0.0,0.0,-57.1,84.1,67.0,-21.7,49.6,113.0
59,5,3.6,north_america,101,-74.2,30.3,0.0,0.0,-53.1,88.2,66.0,-20.6,54.2,120.0
60,5,5.3,north_america,101,-74.8,354.8,0.0,0.0,-56.5,73.9,65.8,-20.2,54.8,121.0
61,5,4.6,north_america,101,-65.9,27.8,0.0,0.0,-44.4,86.2,65.7,-19.8,55.3,122.0
62,6,2.4,north_america,101,-72.0,11.2,0.0,0.0,-51.7,79.7,65.7,-19.8,55.3,122.0
63,5,3.3,north_america,101,-71.3,7.5,0.0,0.0,-51.5,77.6,65.7,-19.8,55.3,122.0
64,5,7.5,north_america,101,-71.0,16.9,0.0,0.0,-49.4,83.7,65.4,-18.9,56.8,125.0
65,5,3.6,north_america,101,-67.2,30.8,0.0,0.0,-43.6,91.6,64.9,-17.7,58.7,129.0
66,7,2.6,north_america,101,-58.0,23.1,0.0,0.0,-33.4,89.2,64.9,-16.7,63.2,144.0
67,6,4.1,north_america,101,-64.2,338.8,-65.5,12.5,-41.3,86.4,64.8,-16.8,64.4,148.0
68,5,3.6,north_america,101,-63.4,344.8,-64.0,17.5,-39.3,89.3,65.1,-16.1,64.9,150.0
69,6,7.0,north_america,101,-58.7,315.1,0.0,0.0,-49.8,50.8,65.3,-15.7,65.2,151.0
70,5,5.3,north_america,101,-57.4,327.5,-62.5,351.0,-42.6,76.4,65.8,-14.2,66.8,156.0
71,6,6.0,north_america,101,-56.8,328.1,-58.1,350.6,-37.8,76.3,65.8,-13.5,69.6,163.0
72,6,7.4,north_america,101,-52.6,318.2,-58.6,334.6,-42.0,69.4,65.9,-13.0,71.5,168.0
73,5,4.3,north_america,101,-64.0,299.0,-71.4,321.9,-54.9,77.0,65.9,-13.0,71.5,168.0
74,4,7.4,north_america,101,-78.7,270.3,0.0,0.0,-68.5,87.8,65.9,-12.9,71.9,169.0
75,5,7.8,north_america,101,-58.0,303.8,0.0,0.0,-51.9,53.0,65.6,-12.9,72.9,172.0
76,4,1.4,north_america,101,-63.2,283.2,0.0,0.0,-61.7,54.7,64.8,-13.4,75.0,180.0
77,3,1.0,north_america,101,-75.7,264.7,0.0,0.0,-67.6,85.0,64.4,-13.6,75.7,183.0
78,6,3.3,north_america,101,-58.8,256.4,-62.0,257.2,-72.0,47.8,64.1,-13.8,76.5,186.0
79,5,7.0,north_america,101,-61.3,264.8,-67.8,268.3,-67.4,64.9,64.1,-13.8,76.5,186.0
80,4,9.8,north_america,101,-58.7,277.8,-64.4,283.0,-61.0,59.4,64.1,-13.8,76.5,186.0
81,3,7.2,north_america,101,-73.1,275.4,0.0,0.0,-64.1,78.6,63.8,-14.0,77.3,189.0
82,5,3.1,north_america,101,-72.8,268.1,0.0,0.0,-66.1,79.2,63.7,-14.0,77.6,190.0
83,5,8.9,north_america,101,-66.0,266.0,0.0,0.0,-66.7,63.8,63.3,-14.2,78.6,194.0
84,4,2.3,north_america,101,-63.0,263.1,0.0,0.0,-67.6,56.7,63.2,-14.2,79.0,197.0
85,4,11.1,north_america,101,-65.5,267.5,0.0,0.0,-65.9,63.2,63.2,-14.2,79.0,197.0
86,6,2.8,north_america,101,-62.5,251.0,0.0,0.0,-73.2,55.4,63.2,-14.2,79.0,197.0
87,5,4.0,north_america,101,-68.0,268.5,0.0,0.0,-65.4,69.2,63.2,-14.2,79.0,197.0
88,5,6.2,north_america,101,-63.6,268.7,0.0,0.0,-65.2,58.6,63.2,-14.2,79.0,197.0
89,5,6.0,north_america,101,-55.6,274.6,-59.8,273.3,-62.2,51.5,63.2,-14.2,79.1,198.0
90,5,7.9,north_america,101,-61.5,234.0,0.0,0.0,-81.0,61.6,63.2,-14.2,79.2,199.0
91,6,10.7,north_america,101,-66.4,252.0,0.0,0.0,-71.9,68.2,63.2,-14.1,79.2,200.0
92,7,3.2,north_america,101,-66.6,268.2,0.0,0.0,-65.5,66.3,63.2,-14.1,79.3,201.0
93,6,5.0,north_america,101,-67.8,275.8,0.0,0.0,-62.5,69.5,63.2,-14.0,79.5,204.0
94,5,8.0,north_america,101,-58.5,256.9,-61.2,257.1,-70.3,51.8,63.2,-14.0,79.5,204.0
95,6,10.7,north_america,101,-58.7,250.9,-62.8,251.2,-73.0,57.3,63.2,-14.0,79.5,204.0
96,6,4.2,north_america,101,-57.8,259.3,-59.6,259.5,-68.9,47.8,63.2,-14.0,79.5,204.0
97,6,6.5,north_america,101,-64.9,276.6,0.0,0.0,-61.9,63.3,63.2,-14.0,79.5,204.0
98,6,2.5,north_america,101,-58.1,271.8,0.0,0.0,-62.3,48.4,63.2,-13.9,79.7,207.0
99,6,5.0,north_america,101,-66.9,267.2,0.0,0.0,-65.8,67.6,63.2,-13.9,79.7,207.0
100,6,4.7,north_america,101,-65.5,255.1,0.0,0.0,-70.7,65.7,63.2,-13.9,79.9,211.0
101,7,5.6,north_america,101,-55.6,274.6,-59.9,273.3,-62.1,52.8,63.2,-13.9,79.9,211.0
102,6,3.4,north_america,101,-56.6,255.9,-58.6,256.2,-70.3,45.0,63.2,-13.9,79.9,211.0
103,6,4.0,north_america,101,-61.7,274.7,0.0,0.0,-61.9,57.0,63.2,-13.9,79.9,211.0
104,5,3.0,north_america,101,-57.6,269.6,-63.3,266.9,-65.7,59.0,63.2,-13.9,79.9,211.0
105,4,5.2,north_america,101,-61.4,282.2,0.0,0.0,-58.4,58.5,63.2,-13.9,79.9,212.0
106,6,3.1,north_america,101,-60.1,277.1,0.0,0.0,-60.3,54.5,63.2,-13.9,79.9,214.0
107,4,7.0,north_america,101,-60.1,271.8,0.0,0.0,-62.9,52.7,63.2,-13.9,79.9,215.0
108,3,10.0,north_america,101,-59.0,267.6,0.0,0.0,-64.6,49.0,63.2,-13.9,79.9,215.0
109,3,14.0,north_america,101,-56.1,276.0,-62.4,280.5,-59.5,59.9,63.2,-13.9,79.9,215.0
110,7,7.8,north_america,101,-50.5,267.6,-53.4,268.7,-62.1,37.9,63.2,-13.9,79.9,215.0
111,6,5.6,north_america,101,-57.4,267.7,-59.3,268.4,-64.3,50.0,63.2,-13.9,79.9,216.0
112,6,3.2,north_america,101,-59.9,279.4,0.0,0.0,-59.2,54.9,63.2,-13.9,79.9,217.0
